total,free,used,buff
770.7,100.6,552.3,
770.7,96.5,556.3,
770.7,93.6,559.3,
770.7,89.6,563.2,
770.7,85.8,567.1,
770.7,82.9,570.0,
770.7,79.3,573.6,
770.7,76.0,576.8,
770.7,72.0,580.9,
770.7,68.3,584.6,
770.7,63.5,589.3,
770.7,57.6,595.2,
770.7,53.8,599.1,
770.7,49.9,602.9,
770.7,51.6,603.6,
770.7,49.6,605.6,
770.7,48.9,608.8,
770.7,67.5,608.1,
770.7,64.0,611.1,
770.7,61.3,613.8,
770.7,58.0,617.1,
770.7,54.2,620.9,
770.7,50.6,624.4,
770.7,59.7,625.0,
770.7,56.0,628.1,
770.7,52.2,631.8,
770.7,49.6,634.5,
770.7,57.7,632.7,
770.7,53.6,636.8,
770.7,49.6,640.8,
770.7,56.6,635.8,
770.7,53.2,639.2,
770.7,49.3,643.1,
770.7,61.1,640.0,
770.7,52.6,643.6,
770.7,48.4,646.8,
770.7,56.9,638.8,
770.7,53.8,641.9,
770.7,51.4,644.3,
770.7,48.8,646.9,
770.7,55.6,641.4,
770.7,52.7,644.3,
770.7,50.7,646.3,
770.7,57.3,641.2,
770.7,56.9,643.2,
770.7,53.4,646.7,
770.7,50.2,649.9,
770.7,56.8,646.2,
770.7,53.4,649.3,
770.7,49.8,652.7,
770.7,59.5,645.2,
770.7,56.0,648.7,
770.7,52.2,652.4,
770.7,49.2,655.5,
770.7,56.4,651.1,
770.7,55.9,654.2,
770.7,57.6,653.3,
770.7,57.8,653.1,
770.7,54.9,656.0,
770.7,51.2,659.7,
770.7,53.8,662.0,
770.7,86.8,629.3,
770.7,82.8,633.4,
770.7,78.7,637.4,
770.7,75.1,640.6,
770.7,72.6,643.1,
770.7,68.8,646.8,
770.7,66.2,649.3,
770.7,63.7,651.8,
770.7,61.2,654.2,
770.7,58.3,657.0,
770.7,54.6,660.7,
770.7,50.3,665.1,
770.7,57.7,658.4,
770.7,54.6,661.3,
770.7,51.0,665.0,
770.7,56.7,659.8,
770.7,53.2,663.4,
770.7,50.3,666.2,
770.7,54.1,664.8,
770.7,60.1,661.2,
770.7,56.2,665.1,
770.7,53.6,667.7,
770.7,49.9,671.4,
770.7,57.4,664.2,
770.7,53.5,667.7,
770.7,50.2,671.0,
770.7,59.3,662.3,
770.7,53.7,665.7,
770.7,51.8,667.7,
770.7,54.9,664.7,
770.7,64.0,655.7,
770.7,58.6,660.3,
770.7,55.4,663.5,
770.7,52.0,666.7,
770.7,53.5,665.3,
770.7,55.5,663.7,
770.7,51.8,667.4,
770.7,60.8,658.7,
770.7,57.9,661.4,
770.7,55.0,664.3,
770.7,51.3,667.3,
770.7,56.1,664.6,
770.7,70.5,648.4,
770.7,66.8,652.1,
770.7,63.2,655.8,
770.7,59.1,659.8,
770.7,53.2,660.2,
770.7,59.6,653.2,
770.7,55.2,657.3,
770.7,52.7,659.8,
770.7,49.1,663.4,
770.7,61.8,656.2,
770.7,57.5,659.7,
770.7,53.7,663.5,
770.7,49.6,667.6,
770.7,49.2,668.1,
770.7,60.7,656.7,
770.7,57.3,660.1,
770.7,54.4,663.1,
770.7,50.5,666.9,
770.7,61.6,656.4,
770.7,57.8,660.2,
770.7,55.3,662.7,
770.7,51.5,666.5,
770.7,62.6,656.0,
770.7,61.7,656.9,
770.7,57.7,660.9,
770.7,53.4,664.8,
770.7,50.5,667.7,
770.7,57.0,663.6,
770.7,55.1,665.5,
770.7,52.2,668.4,
770.7,60.5,660.6,
770.7,56.6,664.5,
770.7,53.1,668.0,
770.7,49.2,671.9,
770.7,51.7,669.6,
770.7,51.5,669.9,
770.7,49.0,672.5,
770.7,49.0,672.6,
770.7,51.2,670.9,
770.7,57.6,666.4,
770.7,61.5,662.5,
770.7,57.7,666.2,
770.7,53.4,670.4,
770.7,50.0,673.8,
770.7,58.7,665.6,
770.7,55.0,669.2,
770.7,51.1,673.1,
