total,free,used,avail_mem
1024.0,698.0,326.0,11
1024.0,698.0,326.0,11
1024.0,698.0,326.0,10
1024.0,698.0,326.0,10
1024.0,698.7,325.3,10
1024.0,699.0,325.0,9
1024.0,699.0,325.0,9
1024.0,699.0,325.0,9
1024.0,699.0,325.0,8
1024.0,699.0,325.0,8
1024.0,699.0,325.0,7
1024.0,696.7,327.3,7
1024.0,693.7,330.3,7
1024.0,693.7,330.3,7
1024.0,690.6,333.4,7
1024.0,690.6,333.4,6
1024.0,690.6,333.4,6
1024.0,689.1,334.9,6
1024.0,688.8,335.2,6
1024.0,688.8,335.2,6
1024.0,688.8,335.2,5
1024.0,688.8,335.2,5
1024.0,670.1,353.9,5
1024.0,670.1,353.9,5
1024.0,670.1,353.9,5
1024.0,670.1,353.9,4
1024.0,670.1,353.9,5
1024.0,670.1,353.9,4
1024.0,671.1,352.9,4
1024.0,671.1,352.9,4
1024.0,671.1,352.9,4
1024.0,652.3,371.7,4
1024.0,652.3,371.7,4
1024.0,652.3,371.7,4
1024.0,652.3,371.7,3
1024.0,652.3,371.7,4
1024.0,652.3,371.7,4
1024.0,652.3,371.7,3
1024.0,652.3,371.7,4
1024.0,652.5,371.5,3
1024.0,622.9,401.1,3
1024.0,617.4,406.6,3
1024.0,617.4,406.6,3
1024.0,617.4,406.6,3
1024.0,617.4,406.6,3
1024.0,617.4,406.6,2
1024.0,617.4,406.6,3
1024.0,617.4,406.6,3
1024.0,617.4,406.6,3
1024.0,617.4,406.6,3
1024.0,617.4,406.6,3
1024.0,581.5,442.5,3
1024.0,581.5,442.5,3
1024.0,581.5,442.5,2
1024.0,581.5,442.5,3
1024.0,582.5,441.5,3
1024.0,582.5,441.5,3
1024.0,582.5,441.5,2
1024.0,582.5,441.5,2
1024.0,582.8,441.2,3
1024.0,582.8,441.2,3
1024.0,582.8,441.2,2
1024.0,575.4,448.6,3
1024.0,575.4,448.6,3
1024.0,575.6,448.4,2
1024.0,575.6,448.4,2
1024.0,551.1,472.9,3
1024.0,551.4,472.6,2
1024.0,551.4,472.6,2
1024.0,551.4,472.6,3
1024.0,551.4,472.6,2
1024.0,551.4,472.6,2
1024.0,537.3,486.7,3
1024.0,537.3,486.7,2
1024.0,537.3,486.7,2
1024.0,537.3,486.7,2
1024.0,537.3,486.7,2
1024.0,537.3,486.7,2
1024.0,505.6,518.4,4
1024.0,505.6,518.4,4
1024.0,505.6,518.4,3
1024.0,505.6,518.4,3
1024.0,505.6,518.4,3
1024.0,505.8,518.2,2
1024.0,505.8,518.2,2
1024.0,491.5,532.5,3
1024.0,491.5,532.5,2
1024.0,491.5,532.5,2
1024.0,490.5,533.5,3
1024.0,490.5,533.5,2
1024.0,490.5,533.5,2
1024.0,470.2,553.8,3
1024.0,470.2,553.8,2
1024.0,470.2,553.8,2
1024.0,470.2,553.8,2
1024.0,470.2,553.8,3
